Trial;sampling_date;date;treatment;plot ;fieldrep;depth;depth_class;C_proz;N_proz;K_mgkg;P_mgkg
trial C;22.03.2017;4;2;2;1;45;2;0,470450711;0,074259137;274,0755831;42,82
trial C;22.03.2017;4;2;2;1;75;3;0,372721433;0,053852309;74,45520778;14,3
trial C;22.03.2017;4;2;2;1;105;4;0,374092904;0,048769804;75,17691661;6,08
trial C;22.03.2017;4;3;3;1;30;1;0,957732116;0,090137317;152,8502385;76,34
trial C;22.03.2017;4;3;3;1;45;2;0,668394231;0,07371387;193,5158025;36,9
trial C;22.03.2017;4;3;3;1;75;3;0,46344358;0,040235211;63,24087687;23,96
trial C;22.03.2017;4;3;3;1;105;4;0,437538139;0,045437445;75,76961609;9,46
trial C;22.03.2017;4;4;4;1;30;1;0,98494877;0,098656421;161,9804192;78,46
trial C;22.03.2017;4;4;4;1;45;2;0,746683199;0,070881899;264,79048;62,38
trial C;22.03.2017;4;4;4;1;75;3;0,420148236;0,048166204;72,42287178;21,32
trial C;22.03.2017;4;4;4;1;105;4;0,313248725;0,036527745;72,34314909;6,3
trial C;22.03.2017;4;5;5;1;30;1;0,84860763;0,085020822;143,790667;84,05
trial C;22.03.2017;4;5;5;1;45;2;0,590844769;0,066506017;194,3704835;38,81
trial C;22.03.2017;4;5;5;1;75;3;0,408118489;0,03907333;65,57467285;24,64
