Trial;sampling date;EC stage;treatment ;plot ID;field repetition;Formelcheck treatment;Rain shelter/Rainfed;main crop;soil depth (cm);RLD total (cm cm-3);RLD bulk (cm cm-3);RLD BP (cm cm-3);RLU total (cm /m^2 in soil depth);RLU bulk (cm /m^2 in soil depth);RLU BP (cm /m^2 in soil depth);;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;60;0,08;0,008;0,072;40;4;36;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;65;0,016;0;0,016;8;0;8;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;70;0,008;0,008;0;4;4;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;75;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;80;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;85;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;90;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;95;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;100;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;105;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;110;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;115;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;120;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;125;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;130;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;135;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;140;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;145;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;150;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;155;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;160;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;165;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;170;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;175;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;180;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;185;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;190;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;195;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;200;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;5;0,39;0,39;0;195;195;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;10;0,48;0,48;0;240;240;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;15;0,542;0,542;0;271;271;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;20;0,32;0,32;0;160;160;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;25;0,368;0,368;0;184;184;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;30;0,346;0,346;0;173;173;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;35;0,34;0,34;0;170;170;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;40;0,308;0,278;0,03;154;139;15;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;45;0,208;0,164;0,044;104;82;22;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;50;0,06;0,046;0,014;30;23;7;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;55;0,062;0,026;0,036;31;13;18;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;60;0,034;0,004;0,03;17;2;15;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;65;0,002;0,002;0;1;1;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;70;0,002;0,002;0;1;1;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;75;0,004;0,004;0;2;2;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;80;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;85;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;90;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;95;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;100;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;105;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;110;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;115;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;120;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;125;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;130;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;135;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;140;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;145;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;150;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;155;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;160;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;165;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;170;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;175;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;180;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;185;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;190;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;195;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;200;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;5;0,44;0,44;0;220;220;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;10;0,356;0,356;0;178;178;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;15;0,406;0,406;0;203;203;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;20;0,612;0,612;0;306;306;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;25;0,482;0,482;0;241;241;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;30;0,334;0,326;0,008;167;163;4;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;35;0,352;0,33;0,022;176;165;11;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;40;0,174;0,146;0,028;87;73;14;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;45;0,09;0,04;0,05;45;20;25;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;50;0,062;0,016;0,046;31;8;23;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;55;0,01;0,002;0,008;5;1;4;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;60;0,01;0,004;0,006;5;2;3;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;65;0,002;0;0,002;1;0;1;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;70;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;75;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;80;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;85;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;90;0;0;0;0;0;0;;;;;;;;;;;;
