Nmin analysed with method XXX at Wiesengut, ? AOL, unit: kg/ha;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Trial;sampling date;treatment ;plot ID;Formelcheck treatment;main crop;soil depth;Nmin kg/ha;data source;comment
trial C;2013-10-02;1;15;1;;30-45cm;59,6882564;;
trial C;2013-10-02;1;15;1;;45-75cm;7,387361744;;
trial C;2013-10-02;1;15;1;;75-105cm;1,794078877;;
trial C;2013-10-02;6;16;6;;0-30cm;20,6419138;;
trial C;2013-10-02;6;16;6;;30-45cm;9,545636768;;
trial C;2013-10-02;6;16;6;;45-75cm;1,270132583;;
trial C;2013-10-02;6;16;6;;75-105cm;1,748142805;;
trial C;2013-10-02;5;17;5;;0-30cm;14,73623104;;
trial C;2013-10-02;5;17;5;;30-45cm;26,61529045;;
trial C;2013-10-02;5;17;5;;45-75cm;2,787702881;;
trial C;2013-10-02;5;17;5;;75-105cm;1,150514289;;
trial C;2013-10-02;4;18;4;;0-30cm;52,16423228;;
trial C;2013-10-02;4;18;4;;30-45cm;84,53851003;;
trial C;2013-10-02;4;18;4;;45-75cm;15,29034909;;
trial C;2013-10-02;4;18;4;;75-105cm;5,791571683;;
trial C;2013-10-02;5;19;5;;0-30cm;18,44922932;;
trial C;2013-10-02;5;19;5;;30-45cm;15,35691606;;
trial C;2013-10-02;5;19;5;;45-75cm;5,914428379;;
trial C;2013-10-02;5;19;5;;75-105cm;1,97527915;;
trial C;2013-10-02;4;20;4;;0-30cm;26,59530816;;
trial C;2013-10-02;4;20;4;;30-45cm;66,03828314;;
trial C;2013-10-02;4;20;4;;45-75cm;14,58570911;;
trial C;2013-10-02;4;20;4;;75-105cm;2,501001789;;
trial C;2013-10-02;6;21;6;;0-30cm;21,01428145;;
trial C;2013-10-02;6;21;6;;30-45cm;19,05086396;;
trial C;2013-10-02;6;21;6;;45-75cm;2,014905115;;
trial C;2013-10-02;6;21;6;;75-105cm;1,940083442;;
trial C;2013-10-02;3;22;3;;0-30cm;24,6363881;;
trial C;2013-10-02;3;22;3;;30-45cm;9,597751989;;
trial C;2013-10-02;3;22;3;;45-75cm;2,927995576;;
trial C;2013-10-02;3;22;3;;75-105cm;1,2693608;;
trial C;2013-10-02;2;23;2;;0-30cm;14,81078433;;
trial C;2013-10-02;2;23;2;;30-45cm;10,14345627;;
trial C;2013-10-02;2;23;2;;45-75cm;2,228309282;;
trial C;2013-10-02;2;23;2;;75-105cm;2,400287581;;
trial C;2013-10-02;1;24;1;;0-30cm;41,52522492;;
trial C;2013-10-02;1;24;1;;30-45cm;51,90588138;;
trial C;2013-10-02;1;24;1;;45-75cm;1,784155122;;
trial C;2013-10-02;1;24;1;;75-105cm;1,463836551;;
;;;;;;;;;
trial C;2014-03-11;1;1;1;;0-30cm;26,26776684;Nmin 2014 gilt, Tabellenblatt Trial C sortiert;
trial C;2014-03-11;1;1;1;;30-45cm;6,480923478;;
trial C;2014-03-11;1;1;1;;45-75cm;3,867094356;;
